feature,weight
RDW-CV(%),0.05649078890895806
PLT(10^9/L),-0.0016866898417504791
HGB(g/L),0.00059102043628286
RBC(10^12/L),0.011350321754504003
WBC(10^9/L),0.021815402858635827
MONO%(%),-0.061707296096245014
BASO%(%),-0.7209338411142745
EO%(%),-0.04213379512986852
LYMPH%(%),0.005132674886688033
NEUT%(%),0.0015378032247020308
BASO#(10^9/L),-2.1205414363976662
MONO#(10^9/L),-0.03860710610747557
EO#(10^9/L),0.23878018759303798
LYMPH#(10^9/L),-0.5969958032640683
NEUT#(10^9/L),0.03770016823740912
NLR,0.00676653512760387
MLR,0.01825099254259894
Intercept,-0.04242658816882752
